"team_api_id","team_name","build_up","chance_cr","defence","home_goals","away_goals","total_goals"
8460,"SC Paderborn 07",175,168,145,21,10,31
8462,"Portsmouth",148,195,150,50,22,72
8464,"N.E.C.",150,158,146,174,136,310
8466,"Southampton",129,205,210,134,82,216
8467,"St. Johnstone FC",162,150,142,167,141,308
8472,"Sunderland",154,195,165,184,149,333
8475,"Waasland-Beveren",132,140,114,50,55,105
8479,"RC Recreativo",148,140,151,17,17,34
8481,"AS Nancy-Lorraine",146,172,210,103,100,203
8483,"Blackpool",183,205,210,30,25,55
8485,"Aberdeen",184,210,200,186,179,365
8521,"Stade Brestois 29",161,168,210,60,39,99
8524,"Atalanta",146,170,165,170,113,283
8525,"Willem II",150,166,153,140,82,222
8526,"De Graafschap",78,153,137,81,49,130
8528,"Wigan Athletic",144,190,165,106,94,200
8529,"Cagliari",167,196,187,181,128,309
8530,"Catania",175,178,147,155,96,251
8533,"Chievo Verona",187,170,165,144,141,285
8534,"Empoli",145,186,164,48,38,86
8535,"Fiorentina",121,172,184,246,194,440
8537,"Livorno",183,172,163,42,24,66
8540,"Palermo",168,165,152,225,126,351
8543,"Lazio",188,220,190,239,178,417
8548,"Rangers",153,210,200,177,147,324
8549,"Middlesbrough",144,190,147,17,11,28
8550,"FC Metz",152,175,150,26,5,31
8551,"Siena",144,183,160,75,74,149
8558,"RCD Espanyol",146,196,180,205,133,338
8559,"Bolton Wanderers",167,185,154,104,77,181
8560,"Real Sociedad",162,171,171,186,130,316
8564,"Milan",170,177,164,271,225,496
8569,"GKS Belchatów",143,175,200,114,76,190
8571,"KV Kortrijk",129,159,185,163,104,267
8573,"KV Oostende",155,140,133,62,40,102
8576,"AC Ajaccio",168,180,140,64,52,116
8581,"Levante UD",171,182,155,145,96,241
8583,"AJ Auxerre",168,164,145,98,70,168
8586,"Tottenham Hotspur",133,210,181,255,226,481
8588,"RC Lens",165,180,200,61,46,107
8592,"Olympique de Marseille",169,210,200,254,208,462
8593,"Ajax",117,199,193,360,287,647
8596,"Falkirk",140,200,200,36,32,68
8597,"Kilmarnock",167,205,200,188,158,346
8600,"Udinese",205,199,160,236,179,415
8602,"Wolverhampton Wanderers",140,210,210,62,56,118
8603,"Real Betis Balompié",145,206,165,116,109,225
8611,"FC Twente",131,172,197,289,220,509
8613,"Boavista FC",153,128,148,30,21,51
8614,"Sparta Rotterdam",75,140,90,44,32,76
8633,"Real Madrid CF",153,200,178,505,338,843
8634,"FC Barcelona",122,175,195,495,354,849
8635,"RSC Anderlecht",149,182,190,247,180,427
8636,"Inter",182,203,165,280,216,496
8639,"LOSC Lille",152,184,180,270,180,450
8640,"PSV",153,200,167,370,282,652
8649,"Ross County FC",153,153,143,97,95,192
8650,"Liverpool",171,180,172,294,237,531
8654,"West Ham United",184,171,140,195,131,326
8655,"Blackburn Rovers",185,185,160,98,77,175
8658,"Birmingham City",174,210,210,38,37,75
8659,"West Bromwich Albion",145,195,210,177,128,305
8661,"RCD Mallorca",172,163,156,147,91,238
8667,"Hull City",151,195,210,79,65,144
8668,"Everton",137,180,180,258,181,439
8673,"Legia Warszawa",141,170,195,240,169,409
8674,"FC Groningen",142,177,149,225,165,390
8678,"Bournemouth",140,200,210,23,22,45
8682,"Le Mans FC",115,195,200,40,39,79
8686,"Roma",153,208,155,299,231,530
8689,"FC Lorient",158,180,200,214,164,378
8690,"Reggio Calabria",163,186,140,23,7,30
8696,"Racing Santander",147,205,168,81,79,160
8697,"SV Werder Bremen",174,216,205,230,193,423
8721,"VfL Wolfsburg",170,210,171,274,189,463
8722,"1. FC Köln",171,165,170,116,110,226
9746,"Le Havre AC",154,180,168,17,13,30
9747,"En Avant de Guingamp",169,170,145,75,47,122
9748,"Olympique Lyonnais",161,185,200,289,208,497
9761,"NAC Breda",153,141,143,170,124,294
9764,"Gil Vicente FC",176,152,149,61,49,110
9768,"Sporting CP",178,204,174,224,187,411
9771,"União de Leiria, SAD",100,150,154,45,40,85
9772,"SL Benfica",178,185,175,321,247,568
9773,"FC Porto",173,196,178,295,246,541
9776,"Eintracht Braunschweig",183,195,157,18,11,29
